age,gender,degree,born_US,Family_income,nation_education,nation_race,nation_arms,nation_welfare,Assistance_to_the_poor,Assistance_to_other_countries,social_security,pres16,tax,Immigration,race
NA,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,1,NA,white
61,Male,Bachelors,No,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,NA,Clinton,3,NA,other
57,Male,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too much,NA,NA,Too little,Clinton,1,Strongly disagree,white
73,Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,About right,About right,About right,Trump,2,Disagree,white
58,Male,Associate College,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too much,Too little,Other,1,NA,white
61,Male,Less than high school,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,other
35,Female,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,About right,Trump,NA,NA,white
58,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too much,Too much,Too little,Clinton,2,NA,white
55,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,Too much,NA,NA,Too little,Clinton,NA,Disagree,other
36,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,NA,Neither,white
31,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,white
62,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,white
62,Male,Graduate,Yes,"$10,000 ~ $19,999",Too much,About right,Too much,Too much,NA,NA,About right,Other,NA,Neither,white
40,Female,High School,Yes,NA,NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,white
45,Female,Graduate,No,"$170,000 or over",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,NA,Disagree,white
75,Female,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,2,Agree,white
74,Male,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,white
51,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,white
89,Male,Bachelors,Yes,"$60,000 ~ $89,999",Too much,About right,Too much,Too much,NA,NA,Too much,Trump,2,NA,white
71,Female,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,NA,NA,white
71,Male,Graduate,Yes,"$130,000 ~ $169,999",Too little,About right,Too little,About right,NA,NA,Too little,Trump,2,Neither,white
58,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,Too little,Clinton,1,Disagree,white
51,Female,Graduate,No,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Strongly disagree,white
51,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,About right,Clinton,NA,NA,white
NA,Female,High School,Yes,NA,About right,About right,About right,About right,NA,NA,About right,Trump,1,NA,white
42,Male,High School,No,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,black
64,Male,High School,Yes,"$90,000 ~ $129,999",Too little,About right,About right,Too much,NA,NA,Too little,Trump,1,Agree,white
73,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,Disagree,black
82,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,white
55,Male,High School,No,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,NA,asian
40,Female,Graduate,Yes,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,black
33,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,About right,About right,Too much,Clinton,2,Neither,white
82,Male,Graduate,Yes,"$90,000 ~ $129,999",Too much,Too much,About right,Too much,NA,NA,Too little,Trump,1,NA,white
58,Male,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,2,NA,white
41,Male,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,About right,About right,Clinton,1,NA,white
38,Female,High School,Yes,"$20,000 ~ $39,999",About right,Too little,Too little,About right,NA,NA,About right,Clinton,2,Disagree,black
63,Male,Associate College,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,NA,white
73,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,About right,Other,2,NA,white
74,Female,Graduate,Yes,"$90,000 ~ $129,999",About right,Too little,About right,About right,NA,NA,Too little,Clinton,NA,Neither,white
62,Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too much,Too much,About right,Trump,1,NA,white
51,Female,Bachelors,No,"$90,000 ~ $129,999",Too little,About right,About right,About right,NA,NA,Too little,Trump,1,NA,white
58,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Trump,1,Neither,white
29,Female,Associate College,Yes,NA,NA,NA,NA,NA,About right,About right,About right,Clinton,2,NA,white
64,Male,Bachelors,No,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,other
77,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,white
54,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,Neither,white
76,Female,Bachelors,Yes,"$60,000 ~ $89,999",About right,About right,About right,About right,NA,NA,About right,Trump,NA,Disagree,white
59,Male,Graduate,No,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,asian
47,Female,Bachelors,No,"$170,000 or over",Too little,Too little,About right,About right,NA,NA,About right,Clinton,NA,Disagree,asian
53,Male,Bachelors,No,"$130,000 ~ $169,999",NA,NA,NA,NA,About right,Too much,About right,Trump,1,Disagree,asian
58,Male,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too little,About right,NA,NA,About right,Clinton,1,NA,white
61,Female,Bachelors,No,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,asian
64,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,Too much,NA,NA,About right,Trump,NA,NA,white
68,Female,Less than high school,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,1,Agree,NA
61,Female,Less than high school,No,"Under $10,000",About right,About right,About right,About right,NA,NA,About right,Clinton,NA,Neither,black
36,Female,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,black
56,Male,Bachelors,No,Refused,About right,Too little,Too little,Too little,NA,NA,Too little,Trump,1,NA,white
33,Male,Bachelors,Yes,"$10,000 ~ $19,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,2,Strongly disagree,white
33,Male,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Disagree,asian
23,Female,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,NA,white
NA,Male,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,1,NA,white
29,Male,Bachelors,Yes,"$170,000 or over",Too little,About right,About right,Too little,NA,NA,About right,Clinton,2,Strongly disagree,white
NA,Male,Bachelors,No,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,hispanic
NA,Male,Graduate,No,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,2,NA,white
46,Female,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,NA,NA,black
50,Female,High School,No,"$90,000 ~ $129,999",Too little,Too little,About right,Too much,NA,NA,Too little,Trump,1,NA,white
25,Female,Less than high school,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,About right,Clinton,NA,NA,other
54,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,black
27,Female,Associate College,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Neither,white
38,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,white
68,Female,High School,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,Disagree,white
49,Male,Graduate,Yes,"$170,000 or over",About right,Too much,Too much,Too much,NA,NA,Too much,Other,NA,Disagree,white
80,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too much,Too much,About right,Trump,NA,NA,white
72,Female,Associate College,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,white
63,Female,Associate College,Yes,"$40,000 ~ $59,999",About right,Too little,About right,Too much,NA,NA,Too little,Clinton,NA,Disagree,white
51,Male,High School,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,Strongly agree,white
52,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,white
84,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,About right,NA,NA,About right,Trump,NA,Neither,white
81,Male,Graduate,Yes,"$130,000 ~ $169,999",About right,About right,Too little,About right,NA,NA,Too little,Clinton,2,NA,white
31,Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,2,Disagree,white
41,Female,High School,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,Too little,Other,1,Disagree,white
60,Female,Associate College,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,About right,Trump,1,Disagree,white
NA,Male,Bachelors,Yes,NA,Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,1,Agree,white
40,Male,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,1,Disagree,white
65,Male,Graduate,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,2,Disagree,white
46,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,NA,white
67,Male,Graduate,Yes,"$130,000 ~ $169,999",About right,About right,Too much,About right,NA,NA,About right,Clinton,1,Disagree,white
47,Female,Associate College,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,About right,Too much,Too little,Trump,1,NA,white
28,Male,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,Too much,Clinton,1,Strongly disagree,white
81,Female,High School,Yes,"$60,000 ~ $89,999",About right,About right,NA,About right,NA,NA,Too little,Trump,NA,NA,white
72,Male,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too much,Too little,Too much,NA,NA,About right,Trump,1,NA,white
NA,Female,High School,Yes,"$60,000 ~ $89,999",Too little,About right,Too little,Too much,NA,NA,Too little,Trump,1,Agree,white
83,Female,Graduate,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,2,NA,white
NA,Male,NA,Yes,NA,Too little,Too little,Too much,About right,NA,NA,About right,Clinton,NA,Neither,hispanic
81,Male,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,white
70,Male,Bachelors,Yes,"$20,000 ~ $39,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,white
57,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too much,Too much,Too much,NA,NA,Too little,Clinton,NA,Agree,white
42,Male,High School,Yes,"$60,000 ~ $89,999",Too little,About right,Too little,Too much,NA,NA,Too little,Trump,1,Agree,white
39,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,Strongly disagree,white
41,Male,High School,Yes,"$90,000 ~ $129,999",About right,About right,Too much,About right,NA,NA,About right,Trump,1,Neither,white
63,Female,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Trump,1,Agree,white
83,Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,1,Strongly agree,white
NA,Male,Associate College,Yes,NA,Too little,Too much,Too much,Too little,NA,NA,Too little,Trump,1,Strongly agree,other
73,Female,High School,Yes,NA,About right,About right,Too little,About right,NA,NA,Too little,Trump,1,Agree,white
72,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,1,NA,white
45,Male,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,Too much,Too much,Too little,Trump,NA,NA,white
52,Female,High School,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,2,Agree,white
65,Female,Bachelors,Yes,"$170,000 or over",NA,NA,NA,NA,About right,Too much,Too little,Trump,NA,NA,white
NA,Female,Graduate,Yes,NA,About right,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,Neither,white
45,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,NA,NA,white
68,Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too much,About right,Too much,NA,NA,Too little,Trump,2,Agree,white
41,Female,Graduate,Yes,"$170,000 or over",About right,Too little,About right,About right,NA,NA,Too little,Clinton,NA,Strongly disagree,white
NA,Male,Graduate,Yes,NA,NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,black
43,Female,Associate College,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Other,1,Neither,white
72,Male,High School,Yes,"$40,000 ~ $59,999",Too much,Too much,About right,Too much,NA,NA,Too much,Trump,1,Strongly agree,white
59,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,1,Agree,white
64,Male,Graduate,Yes,"$130,000 ~ $169,999",Too little,Too little,About right,About right,NA,NA,Too much,Clinton,NA,Disagree,white
44,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,NA,white
42,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too much,About right,Too much,Trump,NA,NA,white
76,Female,Graduate,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,2,Strongly disagree,white
59,Female,High School,Yes,"$90,000 ~ $129,999",About right,Too much,Too little,Too much,NA,NA,About right,Trump,2,Agree,white
65,Male,Graduate,Yes,NA,NA,NA,NA,NA,About right,About right,About right,Trump,1,NA,white
81,Male,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,About right,Clinton,2,NA,white
52,Male,Bachelors,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,3,NA,white
34,Male,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,white
41,Female,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,Too much,NA,NA,About right,Clinton,1,Neither,white
59,Male,High School,Yes,"$170,000 or over",Too little,Too little,Too much,About right,NA,NA,About right,Clinton,1,NA,white
NA,Female,NA,Yes,NA,NA,NA,NA,NA,Too little,About right,About right,Trump,2,NA,white
66,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,About right,NA,NA,NA,About right,Clinton,3,NA,white
29,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too much,About right,About right,Too little,NA,NA,Too much,Clinton,2,Strongly disagree,white
68,Male,Graduate,Yes,"$170,000 or over",About right,Too little,Too much,Too little,NA,NA,About right,Clinton,2,Strongly disagree,white
61,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,NA,NA,NA,NA,NA,NA,Trump,1,Agree,white
72,Male,High School,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too much,Too much,Too little,Trump,1,NA,white
77,Male,Bachelors,Yes,"$90,000 ~ $129,999",Too little,About right,About right,About right,NA,NA,About right,Clinton,2,Strongly disagree,white
69,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,white
41,Female,Graduate,Yes,NA,Too little,Too little,Too much,About right,NA,NA,About right,Clinton,NA,Disagree,white
79,Male,Bachelors,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,white
54,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,white
62,Female,Bachelors,Yes,"$170,000 or over",About right,About right,Too much,Too much,NA,NA,Too little,Trump,1,Strongly agree,white
64,Male,High School,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,NA,NA,white
56,Male,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,NA,NA,white
86,Female,Graduate,Yes,NA,NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,white
24,Male,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,1,NA,white
31,Female,Bachelors,Yes,"$130,000 ~ $169,999",Too much,Too much,Too little,Too much,NA,NA,Too much,Trump,1,NA,white
55,Female,Bachelors,Yes,NA,Too little,Too little,About right,About right,NA,NA,About right,Clinton,NA,Disagree,hispanic
NA,Male,High School,No,"$10,000 ~ $19,999",About right,About right,About right,Too much,NA,NA,About right,Clinton,NA,Agree,hispanic
53,Female,Graduate,Yes,"$170,000 or over",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,white
56,Female,High School,No,"$90,000 ~ $129,999",About right,About right,About right,About right,NA,NA,About right,Clinton,NA,Neither,white
62,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,Too little,Clinton,NA,NA,white
42,Male,Graduate,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,1,NA,white
37,Female,High School,No,"$60,000 ~ $89,999",NA,NA,NA,NA,About right,Too much,About right,Clinton,NA,NA,other
39,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,Too much,NA,NA,NA,Too little,Clinton,NA,Disagree,white
69,Male,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too much,Too much,Too little,Other,NA,NA,white
85,Female,Graduate,Yes,"$20,000 ~ $39,999",About right,About right,Too little,Too much,NA,NA,NA,Trump,NA,Neither,white
39,Female,Bachelors,Yes,NA,Too little,Too little,About right,About right,NA,NA,Too little,Clinton,NA,Disagree,other
48,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,2,Strongly disagree,white
78,Female,High School,Yes,"$40,000 ~ $59,999",About right,Too much,About right,Too much,NA,NA,About right,Trump,NA,Strongly agree,white
62,Female,Graduate,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,NA,white
39,Female,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,2,Strongly disagree,other
84,Female,Bachelors,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Did not vote,2,NA,white
46,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,1,NA,hispanic
42,Female,Associate College,Yes,"$90,000 ~ $129,999",NA,Too much,About right,Too much,NA,NA,Too little,Trump,2,Neither,white
58,Male,Graduate,Yes,"$90,000 ~ $129,999",Too much,About right,Too little,Too much,NA,NA,About right,Trump,NA,Agree,white
66,Male,Graduate,Yes,"$130,000 ~ $169,999",Too much,Too much,About right,About right,NA,NA,About right,Trump,1,Agree,hispanic
86,Male,High School,Yes,"$20,000 ~ $39,999",Too little,About right,Too little,Too little,NA,NA,About right,Trump,NA,Agree,white
48,Male,Associate College,Yes,"$170,000 or over",Too little,Too much,Too little,Too much,NA,NA,About right,Trump,2,Neither,white
59,Female,High School,Yes,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,Neither,white
37,Female,Bachelors,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,Too little,NA,NA,About right,Clinton,NA,Disagree,black
89,Male,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,About right,About right,Clinton,2,Neither,white
54,Male,Bachelors,No,"$130,000 ~ $169,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,NA,NA,hispanic
59,Female,High School,Yes,"$40,000 ~ $59,999",About right,About right,Too much,About right,NA,NA,About right,Clinton,NA,Strongly disagree,white
NA,Female,Bachelors,Yes,NA,Too little,Too little,About right,About right,NA,NA,Too little,Clinton,NA,Disagree,white
62,Male,Bachelors,Yes,"$170,000 or over",Too little,Too little,Too much,Too little,NA,NA,About right,Clinton,2,NA,white
25,Male,Bachelors,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too much,NA,NA,About right,Other,2,Agree,white
NA,Female,Graduate,Yes,NA,NA,NA,NA,NA,About right,About right,About right,Clinton,NA,NA,white
NA,Female,Bachelors,Yes,"$60,000 ~ $89,999",About right,Too little,About right,About right,NA,NA,About right,Trump,2,Neither,white
61,Male,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,About right,About right,Other,2,NA,white
40,Male,Graduate,No,"$170,000 or over",Too much,Too little,Too much,Too little,NA,NA,Too much,Other,NA,Strongly disagree,asian
52,Female,Bachelors,Yes,"$60,000 ~ $89,999",Too much,NA,Too little,Too much,NA,NA,Too little,Trump,NA,Strongly agree,white
59,Female,Graduate,Yes,"$90,000 ~ $129,999",Too little,Too much,About right,About right,NA,NA,Too much,Clinton,1,Neither,white
50,Male,High School,Yes,"$90,000 ~ $129,999",Too little,Too little,About right,Too much,NA,NA,Too little,Other,2,NA,white
58,Female,Graduate,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,NA,NA,white
58,Male,High School,Yes,"$170,000 or over",Too little,Too much,Too little,Too much,NA,NA,About right,Trump,1,NA,white
25,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,Strongly disagree,white
84,Male,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,2,Agree,white
65,Female,Graduate,Yes,NA,NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,white
47,Female,Graduate,Yes,NA,Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,NA,NA,white
38,Male,Bachelors,Yes,NA,Too little,Too little,Too much,Too little,NA,NA,Too little,Clinton,2,NA,black
54,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too much,Too little,Clinton,NA,NA,black
33,Male,High School,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too much,NA,NA,Too little,Clinton,2,Agree,black
76,Male,Graduate,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,About right,Too much,About right,Trump,1,NA,white
51,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too little,Too little,NA,NA,Too little,Clinton,1,NA,black
29,Female,Bachelors,Yes,"$90,000 ~ $129,999",NA,NA,NA,NA,Too little,Too much,About right,Clinton,1,NA,white
37,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,NA,NA,black
34,Female,Bachelors,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too little,About right,Clinton,1,NA,other
74,Male,High School,Yes,"$20,000 ~ $39,999",Too little,About right,About right,Too little,NA,NA,Too little,Clinton,2,Agree,white
28,Female,Graduate,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,Too little,NA,NA,Too little,Clinton,2,NA,white
32,Male,Graduate,Yes,NA,NA,NA,NA,NA,About right,Too much,Too little,Trump,1,Strongly disagree,white
61,Male,High School,Yes,"$170,000 or over",NA,NA,NA,NA,Too much,Too much,Too much,Trump,1,NA,white
48,Female,Bachelors,Yes,"$130,000 ~ $169,999",Too little,Too little,About right,Too much,NA,NA,Too little,Other,1,Strongly agree,white
72,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too much,Too little,About right,NA,NA,Too little,Clinton,1,NA,white
69,Female,High School,Yes,"Under $10,000",NA,NA,NA,NA,Too little,Too much,Too little,Trump,1,NA,other
79,Female,High School,Yes,"$40,000 ~ $59,999",Too little,About right,About right,Too much,NA,NA,Too little,Clinton,2,Disagree,white
39,Female,High School,No,"$90,000 ~ $129,999",Too little,Too little,Too much,About right,NA,NA,Too little,Clinton,NA,Disagree,white
69,Female,Associate College,Yes,"$40,000 ~ $59,999",Too little,Too much,About right,Too much,NA,NA,Too little,Trump,NA,Neither,white
64,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too much,Too much,About right,Trump,NA,NA,white
48,Female,Bachelors,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,1,NA,black
75,Female,High School,Yes,"$20,000 ~ $39,999",Too little,About right,Too little,Too much,NA,NA,Too little,Trump,NA,Agree,white
27,Male,High School,Yes,"$10,000 ~ $19,999",Too little,Too much,Too little,Too much,NA,NA,Too little,Trump,NA,Strongly agree,white
67,Male,High School,Yes,"$60,000 ~ $89,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,1,NA,white
62,Female,High School,Yes,"$20,000 ~ $39,999",Too little,Too little,Too little,Too little,NA,NA,About right,Clinton,1,NA,black
35,Male,Less than high school,Yes,"$40,000 ~ $59,999",NA,NA,NA,NA,Too little,Too little,Too little,Clinton,1,Disagree,white
46,Male,Graduate,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,Too much,About right,Trump,NA,NA,white
NA,Female,High School,Yes,"$20,000 ~ $39,999",NA,NA,NA,NA,Too little,NA,About right,Clinton,NA,NA,black
50,Female,Associate College,Yes,"$40,000 ~ $59,999",Too little,Too much,Too little,About right,NA,NA,Too little,Trump,1,Strongly agree,white
49,Female,Graduate,Yes,"$60,000 ~ $89,999",Too little,Too little,About right,Too much,NA,NA,About right,Clinton,NA,Neither,black
33,Female,Bachelors,Yes,"$130,000 ~ $169,999",About right,About right,About right,About right,NA,NA,About right,Trump,NA,NA,white
85,Male,Associate College,Yes,"$130,000 ~ $169,999",NA,NA,NA,NA,About right,About right,About right,Clinton,2,NA,white
28,Female,Graduate,Yes,"$10,000 ~ $19,999",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Strongly disagree,white
23,Male,High School,Yes,"Under $10,000",NA,NA,NA,NA,Too little,About right,Too little,Clinton,2,Strongly disagree,asian
76,Female,Bachelors,Yes,"$40,000 ~ $59,999",Too little,Too little,About right,About right,NA,NA,Too little,Clinton,1,NA,white
80,Female,High School,Yes,"$60,000 ~ $89,999",Too little,Too little,NA,NA,NA,NA,Too little,Trump,1,NA,white
73,Male,Graduate,Yes,NA,Too much,Too much,Too little,Too much,NA,NA,About right,Trump,1,Agree,white
64,Female,Graduate,No,"$170,000 or over",NA,NA,NA,NA,Too little,Too much,About right,Clinton,2,NA,white
